icao,latitude,longitude,city
NZCH,-43.489444,172.532222,Christchurch
NZAA,-37.008056,174.791667,Auckland
NZWN,-41.327222,174.805278,Wellington
NZQN,-45.021111,168.739167,Queenstown
NZDN,-45.928056,170.198333,Dunedin
NZNV,-46.412222,168.312778,Invercargill
NZHN,-37.866667,175.331944,Hamilton
NZRO,-38.109167,176.317222,Rotorua
NZOH,-40.206111,175.387778,Ohakea
NZWP,-36.787778,174.630278,Whenuapai
NZPM,-40.320556,175.616944,Palmerston North
NZNR,-39.468333,176.871667,Napier
NZTG,-37.673333,176.197222,Tauranga